#Year   glob_temp_dev  RF_nonCO2  RF_budget  co2_atm     fossil_CO2_em   budget_C_uptake
2087    -9999.9999     1.04       0          -9999.9999  1.449273274     0
2088    -9999.9999     1.04       0          -9999.9999  1.438959161     0
2089    -9999.9999     1.04       0          -9999.9999  1.42881447      0
2090    -9999.9999     1.04       0          -9999.9999  1.418835158     0
2091    -9999.9999     1.04       0          -9999.9999  1.409017296     0
2092    -9999.9999     1.04       0          -9999.9999  1.399357066     0
2093    -9999.9999     1.04       0          -9999.9999  1.389850763     0
2094    -9999.9999     1.04       0          -9999.9999  1.380494784     0
2095    -9999.9999     1.04       0          -9999.9999  1.371285629     0
2096    -9999.9999     1.04       0          -9999.9999  1.362219896     0
2097    -9999.9999     1.04       0          -9999.9999  1.353294279     0
2098    -9999.9999     1.04       0          -9999.9999  1.344505565     0
2099    -9999.9999     1.04       0          -9999.9999  1.33585063      0
2100    -9999.9999     1.04       0          -9999.9999  1.327326438     0
2101    -9999.9999     1.04       0          -9999.9999  1.318930035     0
2102    -9999.9999     1.04       0          -9999.9999  1.310658552     0
2103    -9999.9999     1.04       0          -9999.9999  1.302509194     0
2104    -9999.9999     1.04       0          -9999.9999  1.294479248     0
2105    -9999.9999     1.04       0          -9999.9999  1.286566072     0
2106    -9999.9999     1.04       0          -9999.9999  1.278767096     0
2107    -9999.9999     1.04       0          -9999.9999  1.271079821     0
2108    -9999.9999     1.04       0          -9999.9999  1.263501815     0
2109    -9999.9999     1.04       0          -9999.9999  1.256030711     0
2110    -9999.9999     1.04       0          -9999.9999  1.248664206     0
2111    -9999.9999     1.04       0          -9999.9999  1.24140006      0
2112    -9999.9999     1.04       0          -9999.9999  1.234236089     0
2113    -9999.9999     1.04       0          -9999.9999  1.227170172     0
2114    -9999.9999     1.04       0          -9999.9999  1.220200239     0
2115    -9999.9999     1.04       0          -9999.9999  1.213324279     0
2116    -9999.9999     1.04       0          -9999.9999  1.206540331     0
2117    -9999.9999     1.04       0          -9999.9999  1.199846486     0
2118    -9999.9999     1.04       0          -9999.9999  1.193240885     0
2119    -9999.9999     1.04       0          -9999.9999  1.186721717     0
2120    -9999.9999     1.04       0          -9999.9999  1.180287219     0
2121    -9999.9999     1.04       0          -9999.9999  1.173935671     0
2122    -9999.9999     1.04       0          -9999.9999  1.1676654       0
2123    -9999.9999     1.04       0          -9999.9999  1.161474773     0
2124    -9999.9999     1.04       0          -9999.9999  1.155362201     0
2125    -9999.9999     1.04       0          -9999.9999  1.149326133     0
2126    -9999.9999     1.04       0          -9999.9999  1.143365059     0
2127    -9999.9999     1.04       0          -9999.9999  1.137477507     0
2128    -9999.9999     1.04       0          -9999.9999  1.131662041     0
2129    -9999.9999     1.04       0          -9999.9999  1.12591726      0
2130    -9999.9999     1.04       0          -9999.9999  1.1202418       0
2131    -9999.9999     1.04       0          -9999.9999  1.11463433      0
2132    -9999.9999     1.04       0          -9999.9999  1.10909355      0
2133    -9999.9999     1.04       0          -9999.9999  1.103618194     0
2134    -9999.9999     1.04       0          -9999.9999  1.098207027     0
2135    -9999.9999     1.04       0          -9999.9999  1.092858842     0
2136    -9999.9999     1.04       0          -9999.9999  1.087572464     0
2137    -9999.9999     1.04       0          -9999.9999  1.082346744     0
2138    -9999.9999     1.04       0          -9999.9999  1.077180562     0
2139    -9999.9999     1.04       0          -9999.9999  1.072072825     0
2140    -9999.9999     1.04       0          -9999.9999  1.067022464     0
2141    -9999.9999     1.04       0          -9999.9999  1.062028437     0
2142    -9999.9999     1.04       0          -9999.9999  1.057089727     0
2143    -9999.9999     1.04       0          -9999.9999  1.05220534      0
2144    -9999.9999     1.04       0          -9999.9999  1.047374306     0
2145    -9999.9999     1.04       0          -9999.9999  1.042595676     0
2146    -9999.9999     1.04       0          -9999.9999  1.037868525     0
2147    -9999.9999     1.04       0          -9999.9999  1.033191948     0
2148    -9999.9999     1.04       0          -9999.9999  1.028565062     0
2149    -9999.9999     1.04       0          -9999.9999  1.023987003     0
2150    -9999.9999     1.04       0          -9999.9999  1.019456928     0
2151    -9999.9999     1.04       0          -9999.9999  1.014974011     0
2152    -9999.9999     1.04       0          -9999.9999  1.010537447     0
2153    -9999.9999     1.04       0          -9999.9999  1.006146447     0
2154    -9999.9999     1.04       0          -9999.9999  1.001800243     0
2155    -9999.9999     1.04       0          -9999.9999  0.997498079     0
2156    -9999.9999     1.04       0          -9999.9999  0.9932392204    0
2157    -9999.9999     1.04       0          -9999.9999  0.9890229467    0
2158    -9999.9999     1.04       0          -9999.9999  0.9848485534    0
2159    -9999.9999     1.04       0          -9999.9999  0.9807153516    0
2160    -9999.9999     1.04       0          -9999.9999  0.9766226674    0
2161    -9999.9999     1.04       0          -9999.9999  0.9725698415    0
2162    -9999.9999     1.04       0          -9999.9999  0.9685562286    0
2163    -9999.9999     1.04       0          -9999.9999  0.9645811976    0
2164    -9999.9999     1.04       0          -9999.9999  0.9606441307    0
2165    -9999.9999     1.04       0          -9999.9999  0.9567444232    0
2166    -9999.9999     1.04       0          -9999.9999  0.9528814833    0
2167    -9999.9999     1.04       0          -9999.9999  0.9490547316    0
2168    -9999.9999     1.04       0          -9999.9999  0.9452636009    0
2169    -9999.9999     1.04       0          -9999.9999  0.9415075358    0
2170    -9999.9999     1.04       0          -9999.9999  0.9377859924    0
2171    -9999.9999     1.04       0          -9999.9999  0.9340984383    0
2172    -9999.9999     1.04       0          -9999.9999  0.9304443517    0
2173    -9999.9999     1.04       0          -9999.9999  0.9268232217    0
2174    -9999.9999     1.04       0          -9999.9999  0.9232345477    0
2175    -9999.9999     1.04       0          -9999.9999  0.9196778395    0
2176    -9999.9999     1.04       0          -9999.9999  0.9161526165    0
2177    -9999.9999     1.04       0          -9999.9999  0.912658408     0
2178    -9999.9999     1.04       0          -9999.9999  0.9091947526    0
2179    -9999.9999     1.04       0          -9999.9999  0.9057611981    0
2180    -9999.9999     1.04       0          -9999.9999  0.9023573013    0
2181    -9999.9999     1.04       0          -9999.9999  0.8989826278    0
2182    -9999.9999     1.04       0          -9999.9999  0.8956367515    0
2183    -9999.9999     1.04       0          -9999.9999  0.8923192549    0
2184    -9999.9999     1.04       0          -9999.9999  0.8890297285    0
2185    -9999.9999     1.04       0          -9999.9999  0.8857677708    0
2186    -9999.9999     1.04       0          -9999.9999  0.8825329879    0
2187    -9999.9999     1.04       0          -9999.9999  0.8793249937    0
2188    -9999.9999     1.04       0          -9999.9999  0.8761434093    0
2189    -9999.9999     1.04       0          -9999.9999  0.872987863     0
2190    -9999.9999     1.04       0          -9999.9999  0.8698579902    0
2191    -9999.9999     1.04       0          -9999.9999  0.8667534331    0
2192    -9999.9999     1.04       0          -9999.9999  0.8636738408    0
2193    -9999.9999     1.04       0          -9999.9999  0.8606188687    0
2194    -9999.9999     1.04       0          -9999.9999  0.8575881787    0
2195    -9999.9999     1.04       0          -9999.9999  0.8545814391    0
2196    -9999.9999     1.04       0          -9999.9999  0.8515983241    0
2197    -9999.9999     1.04       0          -9999.9999  0.848638514     0
2198    -9999.9999     1.04       0          -9999.9999  0.8457016949    0
2199    -9999.9999     1.04       0          -9999.9999  0.8427875586    0
2200    -9999.9999     1.04       0          -9999.9999  0.8398958024    0
2201    -9999.9999     1.04       0          -9999.9999  0.8370261293    0
2202    -9999.9999     1.04       0          -9999.9999  0.8341782474    0
2203    -9999.9999     1.04       0          -9999.9999  0.83135187      0
2204    -9999.9999     1.04       0          -9999.9999  0.8285467156    0
2205    -9999.9999     1.04       0          -9999.9999  0.8257625076    0
2206    -9999.9999     1.04       0          -9999.9999  0.8229989744    0
2207    -9999.9999     1.04       0          -9999.9999  0.8202558491    0
2208    -9999.9999     1.04       0          -9999.9999  0.8175328694    0
2209    -9999.9999     1.04       0          -9999.9999  0.8148297776    0
2210    -9999.9999     1.04       0          -9999.9999  0.8121463205    0
2211    -9999.9999     1.04       0          -9999.9999  0.8094822492    0
2212    -9999.9999     1.04       0          -9999.9999  0.8068373191    0
2213    -9999.9999     1.04       0          -9999.9999  0.8042112898    0
2214    -9999.9999     1.04       0          -9999.9999  0.8016039251    0
2215    -9999.9999     1.04       0          -9999.9999  0.7990149925    0
2216    -9999.9999     1.04       0          -9999.9999  0.7964442637    0
2217    -9999.9999     1.04       0          -9999.9999  0.7938915141    0
2218    -9999.9999     1.04       0          -9999.9999  0.7913565229    0
2219    -9999.9999     1.04       0          -9999.9999  0.788839073     0
2220    -9999.9999     1.04       0          -9999.9999  0.786338951     0
